title,text,subject,date
House committee seeks testimony from 'Pharma Bro' Shkreli,"WASHINGTON (Reuters) - A U.S. congressional panel has asked pharmaceutical entrepreneur Martin Shkreli to testify at a Jan. 26 hearing about his company’s decision to raise the price of a life-saving prescription drug, according to a Republican committee staffer. Shkreli, who became known as “Pharma Bro,” created a fire storm last year after his company Turing Pharmaceuticals hiked the price of a drug called Daraprim by more than 5,000 percent. Last month, Shkreli was forced to step down as Turing CEO amid criminal and civil securities fraud charges alleging he ran a Ponzi-like scheme during his tenure at the hedge fund MSMB Capital Management and while he was the CEO of Retrophin, another drug company he previously headed. The securities fraud charges are unrelated to the drug pricing probe by the committee. The hearing before the House of Representatives Committee on Oversight and Government Reform will primarily focus on Turing’s price spike of Daraprim, and price hikes for two of Valeant Pharmaceutical’s heart medications - Isuprel and Nitropress. A Democratic committee staffer told Reuters on Friday that Valeant’s Interim CEO Howard Schiller is also expected to appear at the hearing. A Valeant spokeswoman confirmed that Schiller will attend, and said he looks forward to testifying and that the company is cooperating with the ongoing congressional probe. An attorney for Shkreli declined to comment. Earlier this month, House Oversight Chairman Jason Chaffetz and Ranking Member Elijah Cummings jointly sent document requests to Valeant, Turing and Shkreli. In their requests, the lawmakers asked for documents showing each company’s gross revenues and profits from the sales of the drugs in question, as well as communications by the CEOs in connection with the drugs. Since then, Turing has given tens of thousands of documents to U.S. congressional investigators ahead of the hearing, according to a Democratic committee staffer. A spokeswoman for Turing did not have an immediate comment. The committee is expected to review another batch of documents from Valeant in the near future. The deadline for submission is Jan. 22. The House Oversight panel’s interest in drug pricing was sparked by Cummings, who for more than a year has called for the Republican-led panel to probe prescription drug pricing. In a statement, Cummings said he is glad there is now bipartisan support for an investigation. He said Americans are “fed up with watching major drug companies rake in record profits while they continue to struggle to afford their medicines.” ",politicsNews,"January 15, 2016 "
Trump presidency to create high anxiety among Asian allies,"TOKYO/SEOUL (Reuters) - Republican Donald Trump’s victory in the U.S. presidential election will deepen Asian allies’ anxiety about Washington’s  commitment to post-war security arrangements in the face of a rising China and volatile North Korea, and could bolster calls from conservatives in Tokyo for a more robust defense policy. Trump’s “America First” rhetoric and calls for allies to pay more of the cost for U.S. troops in the region or face their possible withdrawal have worried officials in some Asian capitals. So has his opposition to a 12-nation pan-Pacific trade pact that was a linchpin of Washington’s “pivot” to the region. “We should expect dramatic changes in the security environment,” said South Korea’s ruling Saenuri Party floor leader Chung Jin-suk in parliament on Wednesday. But he added: “In any case, there should not be any wavering in the Korea-U.S. military alliance, which has been the foundation of prosperity of this country.”  A Japanese government official, speaking before Trump clinched the election, urged the new president to send a reassuring message. “The new president-elect should as soon as possible issue a statement reassuring the rest of the world that the strong commitment of the United States to its allies ... remains strong and reliable,” said the official, who declined to be identified. “We are certainly concerned about the comments (Trump) has made to date about the alliance and the U.S. role in the Pacific, particularly Japan,” the Japanese official said, although he added Trump’s policies might not match his rhetoric. Trump has made several comments that disturbed Washington’s Asian allies, from insisting they must foot more of the two-way defense bill to suggesting it might be alright for Tokyo and Seoul develop nuclear arms capability. In an article criticizing U.S. President Barack Obama’s “pivot” to Asia as “talking loudly but carrying a small stick” two Trump advisors said he would beef up the U.S. Navy while asserting it was “only fair” that Seoul and Tokyo pay more for defense.  “There is no question of Trump’s commitment to America’s Asian alliances as bedrocks of stability in the region,” wrote  University of California professor Peter Navarro and Alexander Gray, a former advisor to U.S. politician Randy Forbes, in the article, which appeared in the Nov. 7 edition of Foreign Policy. The article also criticized the Obama administration for failing to halt China’s aggressive maritime activities in the East and South China Seas, where Beijing has territorial rows with several countries in the region. Trump has called for more ships for the U.S. Navy. The “mere initiation of the Trump naval program will reassure our allies that the United States remains committed in the long term to its traditional role as guarantor of the liberal order in Asia”, the authors said.    Trump’s approach to the North Asia security alliances could spark calls in Japan for a more independent security stance, although serious talk of acquiring nuclear weapons is unlikely to emerge in the only nation to suffer atomic bombings.  “I think they will have more legitimacy,” said a Japanese diplomat, referring to those seeking a more robust security stance. “But the Japanese public is reluctant to go in that direction and we don’t have the capacity in terms of budget or (military) personnel.” Asian allies who joined the 12-nation Tran-Pacific Partnership (TPP) trade deal, a linchpin of Obama’s Asia pivot, now fear the pact is dead, given Trump’s harsh opposition. That has implications not only for trade, but security, since Washington and Tokyo had seen the TPP as way of creating a new regional rule-based architecture to counter China. “TPP was not just a trade deal, it was the United States and Japan, together ... these countries with shared values would create an advanced regional order with not just economic, but diplomatic and security implications,” said Toshihiro Nakayama, a professor at Keio University in Tokyo. “It was a symbol of America being committed to the region.” Singapore-based security expert Tim Huxley warned of a period of potentially destabilizing uncertainty ahead as the region waits for clearer strategic signs of precisely what a Trump presidency would mean for Asia. “Unless Trump speaks reassuringly and soothingly about the continued U.S. presence and commitment to the region, I won’t be surprised to see long-held doubts awoken in the minds of many Asian leaders about the durability of the traditional U.S. role,” he said.  Policy-makers expect it will take considerable time for Trump to work out personnel appointments and get down to policy formation. Divisive U.S. politics could also slow things down. That could mean a worrisome vacuum, but also suggests no quick, dramatic changes are in store. “It will take about half a year for Mr. Trump to firm up his foreign policies. He only has a transition team of about 200 people and his first focus will be domestic policy,” said Masashi Adachi, head of the Japanese ruling Liberal Democratic Party’s foreign policy panel. “I don’t think there will be a big change in his stance toward Japan. He has said the Japan-U.S. alliance is important. What he is talking about is details like increasing what Japan pays for U.S. troops in Japan,” Adachi added. ",politicsNews,"November 9, 2016 "
Senegal rebels issue warning over Astron's mineral sands mine,"DAKAR (Reuters) - A dormant Senegalese rebel movement has called for the abandonment of a planned mineral sands project operated by Australia-listed Astron, saying it amounts to  a declaration of war . A spokesman for the Movement of Democratic Forces for Casamance (MFDC) on Thursday said that it had not been consulted about the project and considers any exploitation of natural resources in the southern region as theft because taxes on proceeds would go to the northern government of Dakar. The opposition to the Niafarang mine comes as the stable West African fish and peanut exporter seeks to boost revenue from natural resources such as mineral sands containing zircon and ilmenite used in construction as well as recently discovered oil and gas.  Both the political and armed wings of the MFDC are strongly opposed to this project and consider it a declaration of war,  said MFDC spokesman Oumar Ampoi Bodian by telephone from Ziguinchor in Casamance. The comments echoed a statement by MFDC military commander Salif Sadio in July. Sadio had said that the mineral sands project was a violation of the terms of the ceasefire deal with the rebels in 2014.  Astron did not respond to emailed requests for comment. It said in June, when the contract was awarded, that work was due to begin in the fourth quarter of 2017. [nFWN1JC0OG] A government spokesman could not be reached for comment. Unlike many of its West African neighbors, Senegal has never had a civil war or a coup and is seen by Western aid partners and investors as a bastion of stability in a fragile region. But Casamance s isolation from the relatively rich Muslim north from which it is divided by Gambia and its eponymous river remains a source of resentment for locals. One of Africa s oldest rebellions was losing steam even before the ceasefire deal and some diplomats dismiss them as a divided group of rag-tag fighters. Yet the rebels still hold garrisons concealed within the southern region s lush forests, which witnesses say are piled high with weapons. Civil society groups have also criticized the mine planned along a picturesque strip of coastline, citing environmental factors. Astron previously said it had studied the environmental impact and engaged with the local community.  They (the MFDC) are united on this and are saying it publicly, so I am afraid that this long period of calm could end,  said Ousmane Sane, a resident and hotelier in Niafarang. A source familiar with the peace talks said that the matter would be raised with the government in the next round of negotiations aimed at settling the question of the region s official status. ",worldnews,"September 28, 2017 "
U.S. State Department says 'very concerned' about reports of Kirkuk confrontation,"WASHINGTON (Reuters) - The U.S. State Department said on Sunday it was watching developments in the disputed region of Kirkuk and was  very concerned  about reports of a confrontation, after Iraqi government forces clashed with Kurdish Peshmerga.  We are monitoring the situation in Kirkuk closely and are very concerned by reports of a confrontation,  a State Department official said.  We are engaged with all parties in Iraq to de-escalate tension.  The Iraqi government earlier said its forces took control of  vast areas  in the Kirkuk region, including oilfields west of the city, in the early hours of Monday, Iraqi state TV said. However the Kurdistan Regional Government disputed the assertions.   ",worldnews,"October 16, 2017 "
"Trump flops with Silicon Valley donors; Clinton falls short, too","(Reuters) - When Hewlett Packard Enterprise CEO Meg Whitman announced last week that she wouldn’t vote for her party’s presidential nominee, Donald Trump, she pledged to raise money for the Democratic candidate, Hillary Clinton, and to urge like-minded Republicans to follow suit. She won’t have to talk her fellow tech industry conservatives into spurning Trump: They already have. His campaign has pulled in less than 6 percent of what Republican nominee Mitt Romney had raised from tech donors by this point in the 2012 race.  But raising money for Clinton may prove difficult. While the Democrat has raised 25 times more than Trump from tech donors so far, she has drawn less than half of what President Barack Obama had raised from tech employees by this point four years ago, and less than Bernie Sanders, her opponent in the Democratic primary, collected before he left the race. Tech industry employees – long a reliable source of presidential donations, especially for Democrats – have refused to open their wallets for Trump, and they’ve been stingier than usual with Clinton, too, according to an analysis performed for Reuters by Crowdpac, a nonpartisan political crowdfunding startup that analyzes campaign contribution data.  Trump and Clinton together reported having received $3.5 million from tech workers as of June 30, compared with $11 million donated to President Barack Obama and his Republican rival Mitt Romney through June 2012, according to the Crowdpac analysis. In 2008, more than $8.3 million in tech donations had gone to Obama and McCain by June 30. For a graphic tracking contributions from tech workers in the last three elections, see: tmsnrt.rs/2b3nEuk The Trump campaign did not respond to requests for comment on this story. The Clinton campaign asked for the methodology of the Crowdpac analysis but did not comment on its findings. To quantify the tech industry’s political giving, Crowdpac tallied contributions of more than $200 - the Federal Election Commission’s reporting threshold - from donors who listed technology companies as their employers, as well as individuals who work in related roles, such as software engineers and venture capitalists. Contributions to campaigns, Super PACs and joint fundraising committees were included. The analysis may have missed people who work at small technology companies not yet recognized by Crowdpac, as well as individuals who have given less than $200. Technology firms lobby the government on a range of issues, from privacy and encryption to immigration and trade, and they have a strong interest in who sits in the Oval Office. But this year, campaign finance records and interviews with more than two dozen people in the industry suggest that many would-be donors in Silicon Valley remain unwashed by either candidate.  Matt McIlwain, managing director of Madrona Venture Group, gave money to Romney in 2011 and to Republican Marco Rubio in year’s presidential primary election. But he won’t support either Trump or Clinton in the general election.  “Candidates need to have that embrace of innovation and articulate how it is a road for anybody in our society,” he said. “I’m not inspired by either of the major party candidates.”  Democrats consistently draw more tech money than Republicans, but the giving is unusually lopsided this year. Trump has raised a mere $128,000 from 238 tech donors so far. Clinton, by contrast, has raised $3.4 million from 2,976 individuals in the industry, according to Crowdpac’s analysis.  At this point in 2012, Romney had raised $2.3 million and Obama had raised $8.8 million. Silicon Valley Republicans say Trump’s paltry donation totals are no surprise given his public statements attacking the tech industry.  Earlier this year, Trump called for a boycott of Apple products after the company stopped cooperating with federal law enforcement efforts to break into the password-protected iPhone of one attacker in the mass shooting in San Bernardino. Trump also accused Amazon CEO Jeff Bezos of orchestrating an online retail monopoly.  Trump’s positions on limiting immigration and free trade run counter to some of the industry’s most basic interests. For Clinton, having a long track record in politics is a liability with some donors in an industry that reveres innovation.  “She’s an incremental technocrat, and for people who are used to taking on the world, that is not very inspiring,” said Gregory Ferenstein, author of “The Age of Optimists,” a book about politics and Silicon Valley. To be sure, Clinton has many friends in Silicon Valley, and she has had considerably more success than Trump in wooing deep-pocket donors in the industry.  Venture capitalist John Doerr, for example, has contributed $569,500 to the Clinton campaign and affiliate Super PACs and fundraising committees, and Zynga co-founder Mark Pincus has given $358,800, according to Crowdpac. Many in the valley reason that backing Clinton is the surest way to thwart Trump. “We want to make it clear what the risks are of a Trump presidency, but it’s much more energizing to get excited about a candidate,” Box Chief Executive Aaron Levie said in an interview. Some of Obama’s biggest Silicon Valley backers have yet to give money in this race, including Pandora Media Chief Executive Tim Westergren, who had donated $74,100 to Obama and to fundraising committees and affiliated Super PACs by June 2012, and venture capitalist Vinod Khosla, who had given $35,000, according to a Crowdpac analysis of donations. Reliable GOP donors, too, have held back. Tiger Global Management Founder Charles Coleman and venture capitalist Marc Andreessen - both of whom had given $102,500 to Romney and affiliated Super PACs and fundraising committees by June 2012 - had yet to donate by June 30. Andreessen has endorsed Clinton. Westergren and Khosla did not respond to requests for comment; Coleman and Andreessen declined to comment. Carrie Sheffield, founder of multimedia company Bold, typically votes for Republicans and donated to Romney, but she says she won’t give to - or vote for - Trump.  “I don’t think that he’s fit for office,” she said. Both Clinton and Trump have also struggled to convert many donors who gave to their opponents in the primary.  Bernie Sanders raised far more in tech donations during the primary than Clinton, pulling in $6.2 million before leaving the primary race, most of it in small contributions.  In the Republican primary, Marco Rubio drew $5.3 million in tech donations, thanks to a handful of large gifts from top tech executives, including Oracle’s Larry Ellison, Mark Hurd and Safra Catz.  Josh Smith, a Sanders donor who does not plan to vote in the presidential election, said he was troubled by Clinton’s comments in a debate last year urging tech companies to work with law enforcement to prevent attacks. The remarks left some in the industry feeling that Clinton would not protect their livelihoods and did not share their beliefs about “the sanctity of information,” said Smith, founder of Code Corps, which helps developers work on public software projects for social good.  Sanders donor Xiaohoa Michelle Ching said she will vote for Clinton, but has had trouble supporting a candidate who has been readying her path to the presidency for so long.  “I am not going to go out of my way, even with the threat of a Trump presidency,” said Ching, who is chief executive of Literator, an educational technology startup. Ferenstein predicts that Silicon Valley donations to Clinton will pick up.  “You’ll see much more money from Silicon Valley flow to Clinton toward the end of the race,” he predicted, “because people are scared of a President Trump.”  ",politicsNews,"August 9, 2016 "
"House panel subpoenas New York, Massachusetts attorneys general","WASHINGTON (Reuters) - A U.S. House of Representatives panel on Wednesday issued subpoenas to the attorneys general of New York and Massachusetts to force them to submit information on their investigations into whether Exxon Mobil misled investors on climate change risks, accusing the attorneys general of having a political agenda.  The House Committee on Science, Space and Technology also subpoenaed eight environmental and legal groups. “The attorneys general have appointed themselves to decide what is valid and what is invalid regarding climate change,” committee Chair Lamar Smith, a Republican of Texas, said. He said the attorneys general are pursuing a political agenda at the expense of scientists’ right to free speech. The panel has demanded that state attorneys general hand over any records of consultations the prosecutors had with outside environmental groups before their probes were opened. New York and Massachusetts’ top lawyers lead a coalition of 17 state attorneys general who have said they would investigate Exxon and whether its executives misled the public by contradicting research from company scientists that spelled out the threats of global warming.    Smith and Republican members of the House panel have accused the coalition’s members of stifling free speech and scientific inquiry by those who do not believe in manmade climate change. “I don’t know what we will find,” Smith told reporters. “We might find an intent to intimidate.”  So far, New York and Massachusetts have issued subpoenas against Exxon Mobil, one of the world’s largest publicly traded companies.  The House committee twice demanded that the state attorneys general hand over all records of communications between their offices and outside groups about Exxon inquiries. Darin LaHood, a Republican of Illinois on the panel, said on Wednesday that the probe by the attorneys general prohibits free speech in a way “you would see in a third world country.” Cyndi Roy Gonzalez, the spokeswoman for the Massachusetts attorney general’s office, said in a statement that Smith’s committee has no right to interfere with “... a state inquiry into whether a private company violated state laws, and we will continue to fight any and all efforts to stop our investigation.” Green groups Greenpeace and 350.org made similar criticisms in a letter to Smith. Exxon, which has said that it has acknowledged the reality of climate change for years, called the subpoena unreasonably burdensome and intrusive. It also raised questioned about jurisdiction.  The attorneys general and the groups have two weeks to respond. ",politicsNews,"July 13, 2016 "
"Guantanamo, rights issues in defense bill divide Congress","WASHINGTON (Reuters) - The top Democrat on the U.S. House of Representatives Armed Services Committee announced his opposition on Wednesday to the 2017 defense authorization bill, underscoring the partisan divide over the $602 billion defense policy measure. Representative Adam Smith said changes in the bill this week by Republicans, who control the House, on issues including women’s registration for the draft, transfers from the Guantanamo detention center and protection for gay and transgender employees of military contractors, had led him to oppose it. “These have tipped the balance of the bill considerably,” Smith said in a statement. President Barack Obama had already threatened to veto the House version of the National Defense Authorization Act, or NDAA, over a long list of issues, starting with its use of $18 billion of special war funds for day-to-day military programs to avoid automatic budget cuts. This week, the powerful House Rules Committee used a procedural move to remove, without a House vote, an amendment approved by the armed services committee that would have required women to register for the military draft. The Rules panel also decided not to allow debate on an amendment that would have stripped a “religious protection” measure from the bill that rights advocates fear would undo the president’s 2014 executive order banning federal contractors from discriminating based on sexual orientation or gender identity. Smith said he also objected to Republicans’ adding further restrictions on transfers from the military prison in Guantanamo Bay, Cuba, and reduction in funds for nuclear nonproliferation and other provisions. Republicans control 246 seats in the 435-member House, which passed the bill by a vote of 277-147 late on Wednesday, largely along party lines, with most Republicans backing the bill and most Democrats opposed. However, the Senate will pass its own version of the bill later this year, which will be reconciled with the House bill to create a final version of the legislation. Once passed by the Senate and House, that NDAA would be sent to the White House for Obama to sign into law, or veto. ",politicsNews,"May 18, 2016 "
"Exclusive: Clinton leads Trump in key swing states, would likely win election - poll"," NEW YORK (Reuters) - If the U.S. presidential election were held today, Democrat Hillary Clinton would win the key swing states of Florida, Ohio and Virginia and have a 95 percent chance of beating Republican Donald Trump to become America’s first female president, according to the Reuters/Ipsos States of the Nation project.  The project, which combines opinion polls with an analysis of voting patterns under different election scenarios, shows Clinton currently beating Trump in the popular vote by six percentage points and ahead in 19 states, including most of the larger-population ones that heavily influence the outcome of the election.  At the moment, Clinton would win at least 268 votes in the Electoral College, the body that ultimately chooses the next president, just two shy of what she needs to win the White House. On average, the former secretary of state would win by 108 electoral college votes.  Trump would win at least 21 states, many of them with smaller populations, giving him a minimum of 179 electoral votes.  The election is still 10 weeks away, and a great deal could change prior to Nov 8. The candidates are running about even in eight states, including Pennsylvania, Michigan and North Carolina, and the polling sample is too small to determine the winner in Alaska, Wyoming and Washington D.C. But Trump would need to win the 21 states currently in his column and sweep all of the remaining “toss-up” states to win the presidency.  That is a steep challenge for Trump, whose bare-knuckled, anti-establishment campaign helped him win the Republican Party’s nomination but has so far failed to build broad support with voters.  If Trump cannot draw in far greater numbers of women, moderate Republican voters and minorities, he will almost surely lose the White House race, according to the polling project.  Consider, for example, what would be an ideal scenario for Trump: white men with below-average incomes showing up in record numbers on Election Day. This group strongly favors the real-estate mogul, yet even if all of them vote it wouldn’t hand Trump any of the states currently slated for Clinton or any of the toss-up states. Clinton would still win the election.  The Reuters/Ipsos States of the Nation project is driven by an online survey that gathers responses from about 16,000 people per week. Respondents answer questions about their demographic background, their party affiliation and their choice for president. Their responses are weighted according to the latest population estimates, and each respondent is ranked according to their likelihood to vote.  Once the poll is complete, the project tallies the levels of support and estimated error for both candidates, and then runs multiple election simulations given their respective support. A separate set of simulations is run for each state and Washington D.C. The project runs more than 25 million simulations to determine the chances that one candidate would win.  Representatives from the Clinton and Trump campaigns did not respond to requests for comment on the project.  A polarizing candidate, Trump has called for a more extensive border wall with Mexico, a ban on Muslim immigrants and a rejection of international trade agreements. His personal attacks, including his criticism of the parents of a Muslim-American soldier killed in action, have undermined his support within the Republican establishment.  Still, Clinton is far from guaranteed a victory in November.  A majority of Americans have an unfavorable opinion of both Trump and Clinton, and nearly one out of four likely voters says they do not support either of them for president, according to a separate Reuters/Ipsos poll.  The candidates are scheduled to square off in a series of televised debates, and a poor showing by either could quickly change the dynamic of the race. A strong showing by a third party candidate could also influence the outcome.  Democratic Party operatives also fear there may be more revelations about ties between wealthy foreign donors to the Clinton family charity, the Clinton Foundation, and the State Department under her stewardship. Clinton has denied any impropriety but Trump has seized on the disclosures as a new line of attack against his rival.  “There’s always a chance of an October surprise – something definitive and striking about Clinton – that could change the race,” said Tom Smith, who directs the Center for the Study of Politics and Society at the University of Chicago. “But, short of any scandals by the Clintons, I just don’t see any way that Trump catches up.”  If Trump were to rely heavily on support from white voters, he would face an extremely narrow path to victory. Even if all male and female white voters showed up at the polls, and turnout among blacks and Hispanics was half of what it was in 2012, respectively, the project shows Clinton would still be favored to win.  It appears that Trump’s best chance is to turn out Republican voters in huge numbers and hope that a lot of Democrats stay home.  There’s only one problem with this: Republicans appear to have turned out as strongly as Democrats only once in presidential elections since at least 1976. That was in 2004, when the electorate was made up of 37 percent of Republicans, 37 percent of Democrats and 26 percent of Independents, according to exit poll data collected by the Roper Center for Public Opinion Research at Cornell University.  “There’s still a lot of this demolition derby of an election to go,” said Donald Green, a political scientist at Columbia University. “A lot of people who support Trump don’t have a very good record of voter turnout, and who knows if they show up this time.  ",politicsNews,"August 24, 2016 "
"No Congo election until mid-2019, vote commission says, angering opposition","KINSHASA (Reuters) - An election to replace Congolese President Joseph Kabila cannot take place before April 2019, the electoral commission said, a delay that the opposition said would cause an impatient population to  take matters into its own hands . The schedule outlined by the electoral commission would torpedo an agreement between Kabila s camp and his opponents to hold the election - originally scheduled for November 2016 - before the end of this year. Dozens of people were killed last year in protests against Kabila s refusal to step down at the end of his term. Parts of Democratic Republic of Congo are in the hands of insurgents who say they will not stop fighting while he remains in power.  The electoral commission, CENI, said in a statement following a meeting with civil society representatives on Tuesday that it would need at least 504 days to organize the poll once voter registration is completed. Enrolment began in parts of Kasai, a region ravaged by insurrection, in mid-September and will take about three months, the commission says. That means the vote could not be organized until April 2019 at the earliest. CENI is expected to announce election dates this month.  What the CENI has announced is not an electoral calendar but an election-killing agenda,  opposition leader Claudel Lubaya told Reuters.   Everything now rests on the shoulders of the population, which must take matters into its own hands.  The opposition suspects Kabila is trying to cling to power by postponing elections until he can find a way to remove term limits that prevent him from standing for re-election, as presidents in neighboring Rwanda and Congo Republic have done. Kabila, who took power after his father Laurent Kabila was assassinated in 2001, denies that, and says the election delays are due to difficulties enrolling millions of voters and mobilizing hundreds of millions of dollars in financing. His spokesman has repeatedly said that the electoral commission operates independently and that Kabila has no control over the timing of elections. The head of the U.N. peacekeeping mission in Congo, Maman Sidikou, said CENI was badly underfunded. International donors have contributed only 6 percent of the $123 million that the United Nations had been expecting, he told the U.N. Security Council.  Congo has never experienced a peaceful transition of power and Kabila s refusal to step down has fueled mounting insecurity across a country where millions died in regional conflicts between 1996-2003, most from hunger and disease. An insurrection in Kasai has killed up to 5,000 people and displaced 1.4 million since August 2016, and militia violence has also spiked in the eastern borderlands, where dozens of armed groups are active. ",worldnews,"October 11, 2017 "
Flynn declines Senate subpoena in Russia probe,"WASHINGTON (Reuters) - Former White House national security adviser Michael Flynn declined on Monday to comply with a subpoena from the Senate Intelligence Committee as it investigates possible Russian interference in the 2016 U.S. election. Flynn invoked his Fifth Amendment constitutional protection against self-incrimination, according to a letter to the Senate committee from his attorney, which was seen by Reuters. Flynn’s attorneys did not respond to multiple requests for comment. The retired lieutenant general is a key witness in the Russia probe, which has roiled the first months of President Donald Trump’s presidency with a spate of negative news reports. Senators Richard Burr and Mark Warner, the top Republican and Democrat on the intelligence panel, said in a statement they were disappointed by Flynn’s decision, but would “vigorously pursue” his testimony and documents related to the investigation. The committee is conducting one of the main congressional probes into U.S. intelligence agency reports of Russian meddling in the election and whether there was collusion between Trump’s campaign and Russia. Moscow has repeatedly denied the allegations and Trump denies any collusion. Separately on Monday, the Washington Post reported that Trump asked two of the country’s top intelligence officials, Director of National Intelligence Dan Coats and National Security Agency Director Admiral Michael Rogers, to help him deny any collusion between his team and Russia during his presidential campaign. Coats and Rogers declined the request, the Post reported. Flynn apparently misled Pentagon investigators about his foreign connections when he sought to renew his security clearance in early 2016, according to a document obtained by congressional Democrats and released in part on Monday. Interviewed as part of the clearance renewal process, Flynn said all of his foreign trips as a private citizen “were funded by U.S. companies,” according to excerpts of a March 14, 2016, report compiled by security clearance investigators. In fact, a trip Flynn made to Moscow in December 2015, where he attended a gala dinner and sat next to Russian President Vladimir Putin, was paid for by Russia Today, which U.S. officials consider a state-run propaganda arm, according to documents previously released by the House Oversight Committee. The document is the latest to shed light on how Flynn received a clearance and was hired as Trump’s national security advisor. He was forced to resign in February after less than a month for failing to disclose the content of his talks with Sergei Kislyak, Russia’s ambassador to the United States, and misleading Vice President Mike Pence about the conversations. Excerpts were released by Representative Elijah Cummings, ranking Democrat on the House committee. Flynn’s decision to decline to comply with the Senate Intelligence Committee subpoena was first reported by the Associated Press. His attorney wrote to the committee that “the context in which the Committee has called for General Flynn’s testimonial production of documents makes clear that he has more than a reasonable apprehension that any testimony he provides could be used against him.” Flynn’s legal team said he was rejecting the subpoena because the committee spurned his offer, made by the retired Army general in a May 8 letter, “to give a full account of the facts and to answer the committee’s questions, should the circumstances permit, including assurances against unfair prosecution. We stated that, absent such assurances, General Flynn would respectfully decline your request for an interview and for production of documents.” It was not clear what the committee would do if Flynn decided not to comply. Burr and Warren did not elaborate. Several panel members said they were waiting to learn more before coming to any conclusion about what might come next. “We’ll see what the future brings,” Democratic Senator Dianne Feinstein told reporters, adding: “ This may portend that (Flynn) faces something serious.”     Senator James Lankford, a Republican panel member, said Flynn was within his rights to invoke the Fifth Amendment of the U.S. Constitution. “We will get to the truth one way or another,” Lankford said on Twitter. “We need facts, not speculation & anonymous sources.” A Congressional Research Service report outlined three main options if Congress decides to enforce the subpoena: seeking criminal prosecution through the executive branch, asking the courts for a civil judgment and using a dormant power of “inherent contempt” to detain and imprison an individual. The latter option has not been used in 75 years. Congress has more often relied on the criminal contempt statute recently. Reuters reported on Thursday that Flynn and other advisers to Trump’s campaign were in contact with Russian officials and others with Kremlin ties in at least 18 calls and emails during the last seven months of the U.S. presidential race. Two other former Trump associates - one-time campaign chairman Paul Manafort and Republican operative Roger Stone - have turned over documents the Senate panel had requested, while a third - campaign adviser Carter Page - had not yet complied, NBC News reported, citing a congressional source. Flynn has acknowledged being a paid consultant to the Turkish government during the campaign. ",politicsNews,"May 22, 2017 "
